Food,Food_group,DQQ_food_group,USDA_FDC_ID,Energy_kcal,Carbohydrates,Fiber,Monounsaturated_FAs_g,Polyunsaturated_FAs_g,Unsaturated_FAs_g,Saturated_FAs_g,VitA_RAE_mcg,VitC_mg,VitD_mcg,VitE_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_DFE_mcg,VitB12_mcg,Choline_mg,Iron_mg,Zinc_mg,Calcium_mg,Potassium_mg,Magnesium_mg,Sodium,DHA_g,EPA_g,DPA_g,ALA_g,His_g,Ile_g,Leu_g,Lys_g,Met_g_SAA,Cys_g_SAA,Phe_g_AAA,Trp_g_AAA,Tyr_g_AAA,Thr_g,Val_g,EAA_quantity,DIAAS,Phytate_mg,Iron_Abs,Zinc_Abs,DQQ_question,Comments,Food_long,Country,Liquids,Dried_Foods
Cantaloupe,Fruits,Vitamin A-rich fruits,169092,34,8.16,0.9,0,0.08,0.08,0.05,169,36.7,0,0.05,0.04,0.02,0.73,0.07,21,0,7.6,0.21,0.18,9,267,12,16,0,0,0,0.11,0.02,0.02,0.03,0.03,0.01,0,0.02,0,0.01,0.02,0.03,0.2,0.7,20,0.1,0.44,Q8,,"Melons, cantaloupe, raw",Indonesia,0,0
Mango,Fruits,Vitamin A-rich fruits,169910,60,14.98,1.6,0.14,0.07,0.21,0.09,54,36.4,0,0.9,0.03,0.04,0.67,0.12,43,0,7.6,0.16,0.09,11,168,10,1,0,0,0,0.11,0.02,0.03,0.05,0.07,0.01,0,0.03,0.01,0.02,0.03,0.04,0.3,0.7,25,0.1,0.44,Q8,,"Mangos, raw",Indonesia,0,0
Papaya,Fruits,Vitamin A-rich fruits,169926,43,10.82,1.7,0.07,0.06,0.13,0.08,47,60.9,0,0.3,0.02,0.03,0.36,0.04,37,0,6.1,0.25,0.08,20,182,21,8,0,0,0,0.11,0.01,0.01,0.02,0.03,0,0,0.01,0.01,0.01,0.01,0.01,0.1,0.7,22.8,0.1,0.44,Q8,,"Papayas, raw",Indonesia,0,0
Tangerine,Fruits,Citrus,169105,53,13.3,1.8,0.06,0.07,0.13,0.04,34,26.7,0,0.2,0.06,0.04,0.38,0.08,16,0,10.2,0.15,0.07,37,166,12,2,0,0,0,0.11,0.01,0.02,0.03,0.03,0,0,0.02,0,0.02,0.02,0.02,0.16,0.7,10,0.1,0.44,Q9,"Phytate value for mandarin missing, used orange as a proxy","Tangerines, (mandarin oranges), raw",Indonesia,0,0
Orange,Fruits,Citrus,169097,47,11.8,2.4,0.02,0.03,0.05,0.02,11,53.2,0,0.18,0.09,0.04,0.28,0.06,30,0,8.4,0.1,0.07,40,181,10,0,0,0,0,0.11,0.02,0.03,0.02,0.05,0.02,0.01,0.03,0.01,0.02,0.02,0.04,0.25,0.7,10,0.1,0.44,Q9,,"Oranges, raw, all commercial varieties",Indonesia,0,0
Grapefruit,Fruits,Citrus,173033,32,8.08,1.1,0.01,0.02,0.04,0.01,46,34.4,0,0.13,0.04,0.02,0.25,0.04,10,0,7.7,0.09,0.07,12,139,8,0,0,0,0,0.11,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.13,0.7,20.36,0.1,0.44,Q9,Phytate value for grapefruit missing; used phytate value for pomelo as a proxy,"Grapefruit, raw, pink and red and white, all areas",Indonesia,0,0
Banana,Fruits,Other fruits,173944,89,22.8,2.6,0.03,0.07,0.11,0.11,3,8.7,0,0.1,0.03,0.07,0.67,0.37,20,0,9.8,0.26,0.15,5,358,27,1,0,0,0,0.05,0.08,0.03,0.07,0.05,0.01,0.01,0.05,0.01,0.01,0.03,0.05,0.38,0.7,22,0.1,0.44,Q10.1,,"Bananas, raw",Indonesia,0,0
Guava,Fruits,Other fruits,173044,68,14.3,5.4,0.09,0.4,0.49,0.27,31,228.3,0,0.73,0.07,0.04,1.08,0.11,49,0,7.6,0.26,0.23,18,417,22,2,0,0,0,0.05,0.02,0.09,0.17,0.07,0.02,0.01,0.01,0.02,0.03,0.1,0.09,0.63,0.7,50.63,0.1,0.44,Q10.1,For phytate: used an average of pink and white flesh guava,"Guavas, common, raw",Indonesia,0,0
Watermelon,Fruits,Other fruits,167765,127,7.55,0.4,0.04,0.05,0.09,0.02,28,8.1,0,0.05,0.03,0.02,0.18,0.05,3,0,4.1,0.24,0.1,7,112,10,1,0,0,0,0.05,0.01,0.02,0.02,0.06,0.01,0,0.02,0.01,0.01,0.03,0.02,0.19,0.7,3.9,0.1,0.44,Q10.1,,"Watermelon, raw",Indonesia,0,0
Dragon fruit,Fruits,Other fruits,2344729,57,15.23,3.1,0.08,0.09,0.18,0.02,1,4.3,0,0.12,0.01,0.03,0.16,0.03,7,0,5.1,0.18,0.1,9,116,7,1,0,0,0,0.05,0.03,0.04,0.08,0.06,0.01,0.01,0.03,0.01,0.02,0.05,0.05,0.38,0.7,20.55,0.1,0.44,Q10.1,,Dragon fruit,Indonesia,0,0
Longans,Fruits,Other fruits,169089,60,15.1,1.1,0.06,0.15,0.21,0.11,15.75,84,0,0.25,0.03,0.14,0.3,0.14,19.75,0,6.65,0.13,0.05,1,266,10,0,0,0,0,0.05,0.01,0.03,0.05,0.05,0.01,0.01,0.03,0.01,0.03,0.03,0.06,0.32,0.7,5.65,0.1,0.44,Q10.1,"Phytate value for longan missing, used rambutan as a proxy (they belong to the same family)","Longans, raw",Indonesia,0,0
Apple,Fruits,Other fruits,171688,52,13.8,2.4,0.01,0.05,0.06,0.03,3,4.6,0,0.18,0.02,0.03,0.09,0.04,3,0,3.4,0.12,0.04,6,107,5,1,0,0,0,0.2,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0.01,0.01,0.06,0.7,0.51,0.1,0.44,Q10.2,For phytate: used an average of big and small apple,"Apples, raw, with skin ",Indonesia,0,0
Avocado,Fruits,Other fruits, 171705,160,8.53,6.7,9.8,1.82,11.62,2.13,7,10,0,2.07,0.07,0.13,1.74,0.26,81,0,14.2,0.55,0.64,12,485,29,7,0,0,0,0.11,0.05,0.08,0.14,0.13,0.04,0.03,0.1,0.03,0.05,0.07,0.11,0.82,0.7,11,0.1,0.44,Q10.2,,"Avocados, raw, all commercial varieties",Indonesia,0,0
Pear,Fruits,Other fruits,169118,57,15.23,3.1,0.08,0.09,0.18,0.02,1,4.3,0,0.12,0.01,0.03,0.16,0.03,7,0,5.1,0.18,0.1,9,116,7,1,0,0,0,0.2,0,0.01,0.02,0.02,0,0,0.01,0,0,0.01,0.02,0.1,0.7,4.83,0.1,0.44,Q10.2,,"Pears, raw",Indonesia,0,0
Durian,Fruits,Other fruits,168192,147,27.1,3.8,0.05,0.07,0.12,0.03,2,19.7,0,0.15,0.37,0.2,1.07,0.32,36,0,4.25,0.43,0.28,6,436,30,2,0,0,0,0.2,0,0.01,0.02,0.01,0,0,0.01,0,0,0.01,0.01,0.08,0.7,2.67,0.1,0.44,Q10.2,Phytate value for durian missing,"Durian, raw or frozen",Indonesia,0,0
Snake fruit,Fruits,Other fruits,IDE092 (from ID FCT),87,20.9,0.4,0.05,0.07,0.12,0.03,4,2,0,0.15,0.04,0.2,2.4,1,3,0,4.25,4.2,0,28,219.67,14,1.33,0,0,0,0.2,0,0.01,0.02,0.01,0,0,0.01,0,0,0.01,0.01,0.08,0.7,2.67,0.1,0.44,Q10.2,Phytate value for snake fruit missing,Snake fruit,Indonesia,0,0
Pineapple,Fruits,Other fruits,169124,50,13.1,1.4,0.01,0.04,0.05,0.01,3,47.8,0,0.02,0.08,0.03,0.5,0.11,18,0,5.5,0.29,0.12,13,109,12,1,0,0,0,0.11,0.01,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.19,0.7,8.59,0.1,0.44,Q10.3,,"Pineapple, raw, all varieties",Indonesia,0,0
Rose apple,Fruits,Other fruits,168171,25,5.7,2.1,0.02,0.11,0.13,0.01,17,22.3,0,0.09,0.02,0.03,0.8,0.06,15,0,6.55,0.07,0.06,29,123,5,0,0,0,0,0.11,0.01,0.03,0.05,0.05,0.02,0.01,0.03,0.01,0.03,0.03,0.04,0.31,0.7,0.51,0.1,0.44,Q10.3,Phytate value for rose-apple missing; used phytate value for apple as a proxy,"Rose-apples, raw (jamrul)",Indonesia,0,0
Starfruit,Fruits,Other fruits,171715,31,6.73,2.8,0.03,0.18,0.21,0.02,3,34.4,0,0.15,0.01,0.02,0.37,0.02,12,0,7.6,0.08,0.12,3,133,10,2,0,0,0,0.11,0.01,0.04,0.08,0.08,0.02,0.01,0.04,0.01,0.04,0.04,0.05,0.42,0.7,3.8,0.1,0.44,Q10.3,,"Carambola, raw (starfruit)",Indonesia,0,0
Coconut,Fruits,Other fruits,170169,354,15.23,9,1.43,0.37,1.79,29.7,0,3.3,0,0.24,0.07,0.02,0.54,0.05,26,0,12.1,2.43,1.1,14,356,32,20,0,0,0,0.11,0.08,0.13,0.25,0.15,0.06,0.07,0.17,0.04,0.1,0.12,0.2,1.36,0.7,136,0.1,0.3,Q10.3,,"Nuts, coconut meat, raw",Indonesia,0,0
White rice,Starchy staples,Refined grains,N/A,130,28.5,0.4,0.07,0.06,0.13,0.06,0,0,0,0.04,0.02,0.02,0.4,0.07,2.33,0,2.1,0.2,0.44,4.67,30,11,0.33,0,0,0,0.02,0.06,0.11,0.2,0.09,0.06,0.05,0.13,0.03,0.08,0.09,0.15,1.05,0.56,45.7,0.1,0.44,Q1,,"White rice, cooked, unenriched, average of long-, medium-, and short-grain",Indonesia,0,0
Congee (rice porridge),Starchy staples,Refined grains,2343902,33,7.16,0.1,0.02,0.02,0.04,0.02,0,0,0,0.01,0.04,0,0.38,0.02,25,0,0.5,0.3,0.13,6,9,4,253,0,0,0,0.02,0.08,0.14,0.26,0.09,0.06,0.07,0.17,0.04,0.1,0.12,0.17,1.13,0.56,20,0.1,0.44,Q1,,Congee (rice porridge),Indonesia,0,0
White rice noodles,Starchy staples,Refined grains,168914,108,24.01,1,0.03,0.02,0.05,0.02,0,0,0,0.03,0.02,0,0.07,0.01,1,0,1.6,0.14,0.25,4,4,3,19,0,0,0,0.02,0.05,0.07,0.15,0.06,0.04,0.03,0.1,0.02,0.09,0.06,0.1,0.78,0.56,45.7,0.1,0.44,Q1,"Used phytate value for cooked white rice, as value for cooked rice noodles was unavailable","Rice (white) noodles, cooked",Indonesia,0,0
Refined wheat pasta,Starchy staples,Refined grains,168928,158,30.86,1.8,0.13,0.33,0.46,0.18,0,0,0,0.06,0.02,0.02,0.4,0.05,7,0,6.4,0.5,0.51,7,44,18,1,0,0,0,0.02,0.13,0.23,0.44,0.13,0.07,0.11,0.3,0.08,0.11,0.21,0.26,2.07,0.29,164.74,0.1,0.26,Q1,"Used phytate value for cooked wheat-based noodles, as value for cooked pasta was unavailable","Pasta (white), cooked, unenriched, without added salt",Indonesia,0,0
Brown rice,Starchy staples,Whole grains,N/A,118,24.55,1.7,0.33,0.33,0.67,0.21,0,0,0,0.17,0.14,0.04,1.95,0.14,6.5,0,9.2,0.55,0.67,6.5,82.5,41.5,2.5,0,0,0,0.01,0.06,0.1,0.2,0.09,0.06,0.03,0.13,0.03,0.09,0.09,0.14,1.03,0.56,612.16,0.1,0.26,Q2,,"Brown rice, cooked, unenriched, average of long- and medium-grain",Indonesia,0,0
Unsalted brown rice cakes,Starchy staples,Whole grains,170250,387,81.5,4.2,1.03,0.99,2.02,0.57,0,0,0,1.24,0.06,0.17,7.81,0.15,21,0,31.6,1.49,3,11,290,131,26,0,0,0,0.02,0.21,0.35,0.68,0.31,0.18,0.1,0.42,0.1,0.31,0.3,0.48,3.43,0.56,612.16,0.1,0.26,Q2,Phytate value for brown rice cake missing; used phytate value for brown rice as a proxy,"Snacks, rice cakes, brown rice, plain, unsalted",Indonesia,0,0
Whole wheat noodles,Starchy staples,Whole grains,2343836,148,29.91,3.9,0.18,0.57,0.75,0.24,0,0,0,0.23,0.15,0.1,3.11,0.09,20,0,6.5,1.71,1.33,13,95,54,210,0,0,0,0.02,0.13,0.2,0.41,0.17,0.1,0.07,0.25,0.06,0.17,0.17,0.27,1.73,0.56,164.74,0.1,0.26,Q2,"Used phytate value for cooked white wheat-based noodles, as value for cooked whole wheat-based noodles was unavailable","Noodles, whole wheat, cooked",Indonesia,0,0
Whole wheat pasta,Starchy staples,Whole grains,168910,149,30.07,3.9,0.18,0.57,0.75,0.24,0,0,0,0.23,0.16,0.1,3.13,0.09,21,0,6.5,1.72,1.34,13,96,54,4,0,0,0,0.04,0.14,0.23,0.41,0.13,0.1,0.13,0.3,0.08,0.16,0.16,0.26,2.09,0.56,164.74,0.1,0.26,Q2,"Used phytate value for cooked wheat-based noodles, as value for cooked pasta was unavailable","Pasta, whole-wheat, cooked (Includes foods for USDA's Food Distribution Program)",Indonesia,0,0
Corn,Starchy staples,Whole grains,N/A,97,21.35,2.55,0.37,0.6,0.98,0.2,6.5,5.85,0,0.09,0.09,0.06,1.67,0.13,21.5,0,29.1,0.5,0.58,2.5,235,28.5,2,0,0,0,0.02,0.09,0.13,0.36,0.14,0.07,0.03,0.16,0.02,0.13,0.13,0.19,1.45,0.42,196,0.1,0.26,Q2,,"Corn, boiled, average of sweet white and yellow varieties",Indonesia,0,0
Sweet potato,Starchy staples,"White roots, tubers, and plantains",N/A,110,19.06,2.93,1.22,1.29,2.51,0.46,872.67,16.73,0,1.25,0.09,0.08,1.12,0.24,5.67,0,11.93,0.68,0.27,33.33,378.33,23,78.67,0,0,0,0,0.03,0.06,0.1,0.07,0.03,0.02,0.1,0.03,0.04,0.09,0.09,0.67,1.25,10.33,0.1,0.44,Q3,,"Sweet potato, cooked, average of boiled, baked and fried",Indonesia,0,0
Potato,Starchy staples,"White roots, tubers, and plantains",N/A,107,20.7,1.86,0.75,0.8,1.55,0.28,0.43,11,0,0.34,0.08,0.03,1.38,0.3,18.29,0,14.19,0.7,0.32,9.86,451.57,25.57,92.43,0,0,0,0.04,0.04,0.08,0.12,0.12,0.03,0.03,0.09,0.03,0.07,0.07,0.11,0.79,1.25,47.61,0.1,0.44,Q3,,"Potato, cooked, average of skin eaten and not eaten and of boiled, baked, fried, and roasted",Indonesia,0,0
Cassava,Starchy staples,"White roots, tubers, and plantains",2345064,191,39.62,1.9,1.02,0.86,1.88,0.8,13,18.2,0,0.56,0.08,0.05,0.85,0.1,24,0,24.9,0.28,0.36,17,282,22,145,0,0,0,0.04,0.03,0.05,0.08,0.07,0.02,0.02,0.07,0.02,0.04,0.06,0.08,0.56,0.18,60,0.1,0.35,Q3,,"Cassava, cooked",Indonesia,0,0
Taro,Starchy staples,"White roots, tubers, and plantains",168486,142,34.6,5.1,0.01,0.05,0.06,0.02,4,5,0,2.93,0.11,0.03,0.51,0.33,19,0,21.3,0.72,0.27,18,484,30,15,0,0,0,0.04,0.01,0.02,0.04,0.02,0.01,0.01,0.03,0.01,0.02,0.02,0.03,0.22,0.71,18,0.1,0.44,Q3,,"Taro, cooked, without salt",Indonesia,0,0
Breadfruit,Starchy staples,"White roots, tubers, and plantains",2345402,123,26.26,4.7,0.91,0.82,1.73,0.72,11,23.9,0,0.44,0.1,0.03,0.83,0.1,12,0,9.7,0.53,0.12,17,475,24,123,0,0,0,0.04,0.03,0.05,0.08,0.07,0.02,0.02,0.07,0.02,0.04,0.06,0.08,0.56,0.71,40.15,0.1,0.44,Q3,Phytate value for cooked breadfruit missing; used phytate value for raw breadfruit as a proxy,"Breadfruit, cooked",Indonesia,0,0
Green banana,Starchy staples,"White roots, tubers, and plantains",N/A,133,31.34,1.65,0.59,0.58,1.17,0.2,52.5,15.35,0,0.24,0.06,0.07,0.63,0.21,18.5,0,13.3,0.55,0.19,3,478.5,35.5,118,0,0,0,0.08,0.03,0.05,0.08,0.07,0.02,0.02,0.07,0.02,0.04,0.06,0.08,0.56,0.71,11.48,0.1,0.44,Q3,,"Green banana, average of boiled and fried",Indonesia,0,0
Tofu,"Pulses, nuts, and seeds",Legumes,N/A,136,4.3,1.67,2.13,5.04,7.17,1.41,0.33,0.13,0,0.02,0.09,0.05,0.25,0.07,30,0,53.93,2.53,1.15,228,138,41.33,12,0,0,0,0.36,0.31,0.54,0.84,0.67,0.14,0.12,0.53,0.16,0.39,0.46,0.55,4.71,0.97,387.67,0.1,0.26,Q4,,"Tofu, average of firm and soft and of raw and fried",Indonesia,0,0
Tempeh,"Pulses, nuts, and seeds",Legumes,N/A,194,7.63,3.85,3.48,3.47,6.94,2.97,0,0,0,0.2,0.07,0.36,2.39,0.21,22.5,0.11,38.75,2.42,1.36,103.5,406.5,79,11.5,0,0,0,0.36,0.47,0.88,1.43,0.91,0.18,0.19,0.89,0.19,0.66,0.8,0.92,7.52,0.97,431,0.1,0.26,Q4,,"Tempeh, average of raw and cooked",Indonesia,0,0
Red beans,"Pulses, nuts, and seeds",Legumes,N/A,96,17.43,7.35,0.03,0.2,0.24,0.06,0,12.27,0,0.03,0.21,0.13,1.44,0.1,99.33,0,30.5,1.94,1.09,25,376.33,40,5.67,0,0,0,0.36,0.19,0.3,0.56,0.48,0.09,0.07,0.37,0.08,0.21,0.27,0.36,2.98,0.76,219,0.1,0.26,Q4,,"Red beans, average of cooked adzuki and kidney beans, and of sprouted and not",Indonesia,0,0
Edamame,"Pulses, nuts, and seeds",Legumes,168411,121,8.91,5.2,1.28,2.16,3.44,0.62,15,6.1,0,0.68,0.2,0.16,0.92,0.1,311,0,56.3,2.27,1.37,63,436,64,6,0,0,0,0.36,0.27,0.3,0.75,0.75,0.14,0.12,0.49,0.13,0.34,0.33,0.32,3.93,1.02,273,0.1,0.26,Q4,Phytate value for cooked edamame missing; used phytate value for raw edamame as a proxy. Only frozen edamame were available in USDA FDC.,"Edamame, frozen, prepared",Indonesia,0,0
Mung beans,"Pulses, nuts, and seeds",Legumes,174257,105,19.15,7.6,0.05,0.13,0.18,0.12,1,1,0,0.15,0.16,0.06,0.58,0.07,159,0,29.4,1.4,0.84,27,266,48,2,0,0,0,0.36,0.21,0.3,0.54,0.49,0.08,0.06,0.43,0.08,0.21,0.23,0.36,2.99,0.86,381.95,0.1,0.26,Q4,,"Mung beans, mature seeds, cooked, boiled, without salt",Indonesia,0,0
Oncom,"Pulses, nuts, and seeds",Legumes,IDC090 (from ID FCT),198,22.6,0.7,1.23,1.99,3.22,0.9,0,0,0,0.2,0.09,0.02,0.3,0.04,3,0,38.75,9.9,0.4,96,290.14,49.56,14.69,0,0,0,0.36,0.25,0.41,0.72,0.57,0.11,0.1,0.47,0.11,0.32,0.37,0.44,3.87,0.97,409.33,0.1,0.26,Q4,"Phytate value for oncom missing, used average value for tofu and tempeh as a proxy.",Oncom (fermented soybeans),Indonesia,0,0
Unsweetened soymilk,"Pulses, nuts, and seeds",Legumes,172446,54,6.28,0.6,0.4,0.96,1.36,0.21,0,0,0,0.11,0.06,0.07,0.51,0.08,18,0,23.6,0.64,0.12,25,118,25,51,0,0,0,0.36,0.06,0.11,0.19,0.13,0.03,0,0.11,0.04,0.09,0.11,0.12,0.98,1.17,133,0.1,0.3,Q4,,"Soymilk, original and vanilla, unfortified",Indonesia,1,0
Peanuts,"Pulses, nuts, and seeds",Nuts and seeds,N/A,584,17.55,8.77,25.53,13.54,39.07,7.56,0,0.27,0,6.72,0.29,0.14,13.42,0.43,152.33,0,57.37,2.56,3.11,70.33,688.33,174,10,0,0,0,0.03,0.64,0.91,1.67,0.91,0.3,0.34,1.34,0.24,1.01,0.77,1.07,9.19,0.43,1497.5,0.1,0.26,Q21,,"Peanuts, average of raw, dry-roasted and oil-roasted",Indonesia,0,0
Peanut butter,"Pulses, nuts, and seeds",Nuts and seeds,N/A,594,21.94,6.5,24.53,13.23,37.77,8.97,0,0,0,7.7,0.13,0.15,13.4,0.43,89.5,0,62.15,1.82,2.65,47,651.5,164,17,0,0,0,0.03,0.55,0.61,1.54,0.68,0.26,0.23,1.19,0.23,0.82,0.52,0.78,7.41,0.46,443,0.1,0.26,Q21,,"Peanut butter, average of chunk and smooth style",Indonesia,0,0
Cashews,"Pulses, nuts, and seeds",Nuts and seeds,N/A,569,30.92,3.2,25.68,8.08,33.75,8.47,0,0.27,0,0.91,0.33,0.16,1.4,0.33,39.67,0,61,6.24,5.58,41.67,619,275,13.67,0,0,0,0.04,0.43,0.75,1.37,0.87,0.32,0.35,0.87,0.26,0.49,0.64,1.05,7.4,0.42,1079,0.1,0.26,Q21,,"Cashew nuts, average of raw, dry-roasted and oil-roasted",Indonesia,0,0
Sunflower seeds,"Pulses, nuts, and seeds",Nuts and seeds,N/A,586,22.32,10.1,12.03,30.11,42.14,5.58,1,1.3,0,32.53,0.64,0.29,6.5,0.98,232.67,0,55.1,4.44,5.17,78.33,659.33,193.67,5,0,0,0,0.08,0.57,1.04,1.51,0.85,0.45,0.41,1.06,0.32,0.61,0.84,1.2,8.86,0.67,423,0.1,0.26,Q21,,"Sunflower seeds, average of raw, dry-roasted and oil-roasted",Indonesia,0,0
Carrots,Vegetables,Vitamin A-rich orange vegetables,N/A,38,8.9,2.9,0.01,0.1,0.1,0.03,843.5,4.75,0,0.85,0.07,0.05,0.81,0.15,16.5,0,8.8,0.32,0.22,31.5,277.5,11,63.5,0,0,0,0,0.04,0.07,0.09,0.09,0.02,0.08,0.06,0.01,0.04,0.17,0.06,0.73,0.8,88.2,0.1,0.35,Q5,,"Carrots, average of raw and cooked (boiled)",Indonesia,0,0
Pumpkin,Vegetables,Vitamin A-rich orange vegetables,N/A,23,5.7,0.8,0.01,0,0.02,0.04,357,6.85,0,0.93,0.04,0.09,0.51,0.05,12.5,0,7.2,0.69,0.28,18,285,10.5,1,0,0,0,0,0.01,0.03,0.04,0.05,0.01,0,0.03,0.01,0.04,0.03,0.03,0.27,0.8,19.72,0.1,0.44,Q5,,"Pumpkin, average of raw and cooked (boiled)",Indonesia,0,0
Red pepper,Vegetables,Vitamin A-rich orange vegetables,N/A,62,6.43,1.7,0.77,1.99,2.76,0.55,147.33,153.83,0,2.11,0.06,0.07,0.8,0.3,21.33,0,5.83,0.45,0.17,7.67,190,11.33,9,0,0,0,0,0.02,0.02,0.04,0.04,0.01,0.02,0.04,0.01,0.01,0.04,0.03,0.29,0.8,17.68,0.1,0.44,Q5,,"Peppers, sweet, red, average of raw and cooked (boiled and sauted)",Indonesia,0,0
Spinach,Vegetables,Dark green leafy vegetables,N/A,23,3.69,2.3,0.01,0.14,0.15,0.05,496.5,18.95,0,2.06,0.09,0.21,0.61,0.22,170,0,19.5,3.14,0.65,117.5,512,83,74.5,0,0,0,0.14,0.07,0.15,0.23,0.18,0.05,0.04,0.13,0.04,0.11,0.12,0.16,1.28,0.8,12.01,0.1,0.44,Q6.1,,"Spinach, average of raw and cooked (boiled)",Indonesia,0,0
Water spinach,Vegetables,Dark green leafy vegetables,N/A,20,3.42,2,0.01,0.1,0.11,0.04,287.5,35.5,0,0.94,0.04,0.09,0.7,0.09,46,0,21.01,1.5,0.17,65.5,298,50.5,117.5,0,0,0,0.12,0.04,0.09,0.13,0.1,0.04,0.03,0.11,0.03,0.07,0.13,0.12,0.89,0.8,27,0.1,0.44,Q6.1,,"Water spinach, average of raw and cooked (boiled)",Indonesia,0,0
Chinese cabbage,Vegetables,Dark green leafy vegetables,N/A,13,1.98,1,0.01,0.09,0.1,0.02,217.5,35.5,0,0.09,0.04,0.07,0.46,0.18,53.5,0,9.25,0.92,0.18,99,311.5,15,49.5,0,0,0,0.12,0.03,0.09,0.09,0.09,0.01,0.02,0.05,0.02,0.03,0.05,0.07,0.53,0.8,10.93,0.1,0.44,Q6.1,,"Cabbage, chinese (sawi/pak/bok-choi), average of raw and cooked (boiled)",Indonesia,0,0
Chinese broccoli,Vegetables,Dark green leafy vegetables,N/A,24,4.24,2.55,0.05,0.34,0.39,0.11,84,28.9,0,0.49,0.1,0.15,0.45,0.07,101.5,0,25.9,0.58,0.4,102.5,267.5,18.5,7,0,0,0,0.12,0.05,0.1,0.15,0.13,0.04,0.03,0.1,0.03,0.07,0.1,0.12,0.91,0.8,25.66,0.1,0.44,Q6.1,,"Chinese broccoli, average of raw and cooked (boiled)",Indonesia,0,0
Broccoli,Vegetables,Dark green leafy vegetables,N/A,35,6.91,2.95,0.04,0.14,0.18,0.1,54,77.05,0,1.12,0.07,0.12,0.6,0.19,85.5,0,29.4,0.7,0.43,43.5,304.5,21,37,0,0,0,0.1,0.06,0.09,0.14,0.15,0.04,0.03,0.12,0.03,0.06,0.09,0.13,0.93,0.8,25.66,0.1,0.44,Q6.1,,"Broccoli, average of raw and cooked (boiled)",Indonesia,0,0
Sweet potato leaves,Vegetables,Dark green leafy vegetables,N/A,39,8.1,3.6,0.02,0.18,0.2,0.09,168,6.25,0,0.96,0.13,0.31,1.07,0.18,25,0,21,0.8,0.26,55.5,410,59,6.5,0,0,0,0.07,0.1,0.25,0.46,0.18,0.07,0.04,0.27,0.03,0.21,0.23,0.32,2.15,0.8,280,0.1,0.26,Q6.2,,"Sweet potato leaves, average of raw and cooked (steamed)",Indonesia,0,0
Pumpkin leaves,Vegetables,Dark green leafy vegetables,N/A,20,2.86,2.7,0.04,0.02,0.06,0.16,88.5,6,0,0.96,0.08,0.13,0.89,0.2,30.5,0,21,2.71,0.2,41,437,38,9.5,0,0,0,0.07,0.05,0.15,0.3,0.19,0.05,0.03,0.16,0.04,0.15,0.15,0.17,1.41,0.8,36.14,0.1,0.44,Q6.2,,"Pumpkin leaves, average of raw and cooked (boiled)",Indonesia,0,0
Drumstick leaves,Vegetables,Dark green leafy vegetables,N/A,62,9.72,2,0.47,0.02,0.49,0.15,364.5,41.35,0,0.1,0.24,0.58,2.11,1.06,31.5,0,21,3.16,0.55,168,340.5,38,9,0,0,0,0.07,0.15,0.35,0.62,0.42,0.1,0.11,0.38,0.11,0.27,0.32,0.48,3.31,0.8,128,0.1,0.3,Q6.2,,"Drumstick leaves, average of raw and cooked (boiled)",Indonesia,0,0
