Food,Food_group,DQQ_food_group,USDA_FDC_ID,Energy_kcal,Carbohydrates,Fiber,Monounsaturated_FAs_g,Polyunsaturated_FAs_g,Unsaturated_FAs_g,Saturated_FAs_g,VitA_RAE_mcg,VitC_mg,VitD_mcg,VitE_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_DFE_mcg,VitB12_mcg,Choline_mg,Iron_mg,Zinc_mg,Calcium_mg,Potassium_mg,Magnesium_mg,Sodium,DHA_g,EPA_g,DPA_g,ALA_g,His_g,Ile_g,Leu_g,Lys_g,Met_g_SAA,Cys_g_SAA,Phe_g_AAA,Trp_g_AAA,Tyr_g_AAA,Thr_g,Val_g,EAA_quantity,DIAAS,Phytate_mg,Iron_Abs,Zinc_Abs,DQQ_question,Comments,Food_long,Country,Liquids,Dried_Foods
Cassava leaves,Vegetables,Dark green leafy vegetables,IDD076 (from ID FCT),68,7.1,2.4,0.13,0.06,0.19,0.1,456,103,0,0.67,0.04,0.1,1.8,0.34,12,0,21,1.3,2.6,166,298.13,35.1,7.5,0,0,0,0.07,0.1,0.25,0.46,0.26,0.07,0.06,0.27,0.06,0.21,0.23,0.32,2.29,0.8,28.54,0.1,0.44,Q6.2,Used phytate value for boiled cassava leaves as value for styr-fried was missing,"Cassava leaves, stir-fried",Indonesia,0,0
Tree fern,Vegetables,Dark green leafy vegetables,170464,40,10.98,3.7,0.01,0.03,0.04,0.01,10,30,0,0.67,0,0.3,3.5,0.18,15,0,21,0.16,0.31,8,5,5,5,0,0,0,0.07,0.1,0.25,0.46,0.26,0.07,0.06,0.27,0.06,0.21,0.23,0.32,2.29,0.8,32.01,0.1,0.44,Q6.2,Used phytate for raw vegetable fern as phytate value for cooked was missing,"Tree fern, cooked, without salt",Indonesia,0,0
Tomatoes,Vegetables,Other vegetables,N/A,19,4,0.93,0.03,0.08,0.11,0.03,24.5,17.23,0,0.49,0.04,0.03,0.7,0.07,16.75,0,7.4,0.49,0.17,11.25,229.25,10.5,13,0,0,0,0.07,0.02,0.02,0.04,0.04,0.01,0.01,0.03,0.01,0.02,0.03,0.03,0.24,0.8,1.74,0.1,0.44,Q7.1,,"Tomatoes, average of red, yellow and green, and of raw and cooked",Indonesia,0,0
Long bean,Vegetables,Other vegetables,169223,47,9.18,1.88,0.01,0.04,0.05,0.03,23,16.2,0,0.46,0.09,0.1,0.63,0.02,45,0,10.77,0.98,0.36,44,290,42,4,0,0,0,0.07,0.08,0.14,0.18,0.17,0.04,0.04,0.14,0.03,0.1,0.09,0.15,1.15,0.8,688,0.1,0.26,Q7.1,"Used phytate for winged bean as as a proxy, as value for long bean was missing","Yardlong bean (long bean), cooked, boiled, drained, without salt",Indonesia,0,0
Green beans,Vegetables,Other vegetables,169141,35,7.88,3.2,0.01,0.15,0.16,0.06,32,9.7,0,0.46,0.07,0.1,0.61,0.06,33,0,16.9,0.65,0.25,44,146,18,1,0,0,0,0.07,0.04,0.07,0.12,0.09,0.02,0.02,0.07,0.02,0.04,0.08,0.09,0.66,0.8,688,0.1,0.26,Q7.1,"Used phytate for winged bean as as a proxy, as value for green bean was missing","Beans, snap, green, cooked, boiled, drained, without salt",Indonesia,0,0
Winged beans,Vegetables,Other vegetables,172453,147,14.94,1.88,2.15,1.55,3.7,0.83,0,0,0,0.46,0.3,0.13,0.83,0.05,10,0,10.77,4.33,1.44,142,280,54,13,0,0,0,0.07,0.24,0.45,0.76,0.65,0.11,0.17,0.44,0.23,0.45,0.36,0.47,4.32,0.8,688,0.1,0.26,Q7.1,Used phytate for raw winged bean as phytate value for cooked was missing,"Winged beans, mature seeds, cooked, boiled, without salt",Indonesia,0,0
Cabbage,Vegetables,Other vegetables,N/A,20,4.24,1.83,0.02,0.04,0.06,0.03,18.25,29.23,0,0.14,0.05,0.04,0.35,0.16,51.25,0,12.87,0.31,0.2,49.25,207.25,12.5,11,0,0,0,0.07,0.02,0.05,0.06,0.06,0.01,0.01,0.04,0.01,0.02,0.04,0.05,0.38,0.8,11.21,0.1,0.44,Q7.1,,"Cabbage, average of common and Chinese (pe-tsai), and of raw and cooked",Indonesia,0,0
Green pepper,Vegetables,Other vegetables,N/A,55,5.19,1.57,0.79,2.02,2.81,0.56,18.33,110.6,0,0.76,0.05,0.04,0.51,0.22,13,0,5.9,0.37,0.1,9,158.33,9.33,7.33,0,0,0,0.07,0.01,0.03,0.04,0.04,0.01,0.01,0.07,0.01,0.01,0.03,0.04,0.3,0.8,15.96,0.1,0.44,Q7.1,,"Green pepper, average of raw and cooked (boiled and sauted)",Indonesia,0,0
Chayote,Vegetables,Other vegetables,N/A,22,4.8,2.25,0.01,0.03,0.03,0.01,0,7.85,0,0.13,0.03,0.03,0.45,0.1,55.5,0,9.85,0.28,0.53,15,149,12,1.5,0,0,0,0,0.01,0.04,0.07,0.03,0,0.02,0.04,0.01,0.03,0.04,0.06,0.34,0.8,19.42,0.1,0.44,Q7.2,,"Chayote, average of raw and cooked (boied)",Indonesia,0,0
Mung bean sprouts,Vegetables,Other vegetables,N/A,36,7.39,1.35,0.03,0.05,0.08,0.03,1.5,13.7,0,0.07,0.1,0.14,1.01,0.09,49.5,0,9.9,1.28,0.69,12.5,160,23.5,9.5,0,0,0,0,0.08,0.15,0.2,0.19,0.04,0.02,0.13,0.04,0.06,0.09,0.15,1.16,0.8,80.77,0.1,0.35,Q7.2,,"Mung bean sprouts, average of boiled and styr-fried",Indonesia,0,0
Radish,Vegetables,Other vegetables,N/A,16,3.39,1.53,0.02,0.07,0.09,0.04,0,22.03,0,0,0.02,0.02,0.22,0.05,19.67,0,7.05,0.45,0.14,23.67,264,11.33,16.67,0,0,0,0,0.02,0.03,0.04,0.04,0.01,0.01,0.03,0,0.02,0.03,0.04,0.26,0.8,1.75,0.1,0.44,Q7.2,,"Radish, average of oriental and icicle white radish, and of raw and cooked (boiled)",Indonesia,0,0
Cauliflower,Vegetables,Other vegetables,N/A,121,13.01,1.95,2.51,2.63,5.14,0.96,3,30.2,0.05,1.04,0.15,0.1,1.17,0.13,64,0.02,34.1,1,0.27,24.5,150.5,11.5,170.5,0,0,0,0,0.04,0.07,0.11,0.1,0.03,0.02,0.07,0.02,0.04,0.07,0.09,0.65,0.8,18.48,0.1,0.44,Q7.2,,"Cauliflower, average of boiled and fried",Indonesia,0,0
Mushrooms,Vegetables,Other vegetables,N/A,67,9.62,2.2,0.84,0.98,1.82,0.35,0.83,0.85,0.33,0.33,0.11,0.32,3.93,0.11,28.33,0.01,31.85,0.83,0.81,7.5,308.17,13.67,58.5,0,0,0,0,0.05,0.08,0.13,0.1,0.03,0.02,0.09,0.02,0.05,0.1,0.21,0.87,0.8,3.22,0.1,0.44,Q7.2,"Phytate values for all cooked mushroom varieties missing, used value for raw white mushroom as a proxy","Mushrooms, average of multiple varieties consumed in Asia and of various cooking methods (boiled, grilled, styr-fried, fried)",Indonesia,0,0
Eggplant,Vegetables,Other vegetables,N/A,127,15.53,2.25,2.5,2.58,5.08,0.93,3.5,1.05,0.05,1.26,0.17,0.08,1.3,0.07,43,0.02,11.9,0.93,0.22,17,129,12.5,158,0,0,0,0.06,0.02,0.04,0.05,0.04,0.01,0,0.04,0.01,0.02,0.03,0.04,0.3,0.8,12.28,0.1,0.44,Q7.3,,"Eggplant, average of boiled and fried",Indonesia,0,0
Bitter melon,Vegetables,Other vegetables,168394,19,4.32,2,0.03,0.08,0.11,0.01,6,33,0,0.14,0.05,0.05,0.28,0.04,51,0,10.8,0.38,0.77,9,319,16,6,0,0,0,0.06,0.02,0.03,0.05,0.05,0.01,0.01,0.03,0.01,0.02,0.03,0.04,0.3,0.8,13.84,0.1,0.44,Q7.3,Used phytate for raw bitter gourd as phytate value for cooked was missing,"Balsam-pear (bitter gourd or bitter melon), pods, cooked, boiled, drained, without salt",Indonesia,0,0
Luffa gourd,Vegetables,Other vegetables,N/A,38,9.35,2,0.05,0.12,0.17,0.02,13.63,8.85,0,0.17,0.05,0.05,0.33,0.07,9.5,0,9.68,0.36,0.12,14.5,296,17,12,0,0,0,0.06,0.02,0.03,0.05,0.05,0.01,0.01,0.03,0.01,0.02,0.03,0.04,0.3,0.8,13.42,0.1,0.44,Q7.3,"Phytate value for loofa gourd missing, used an average of phytate value for other gourds","Loofa gourd, average of raw and cooked (boiled)",Indonesia,0,0
Cucumber,Vegetables,Other vegetables,N/A,30,3.89,0.55,0.52,0.48,1,0.43,12,2.75,0,0.23,0.03,0.03,0.1,0.05,7,0,6.55,0.3,0.22,17.5,157.5,14,73.5,0,0,0,0.06,0.02,0.03,0.05,0.05,0.01,0.01,0.03,0.01,0.02,0.03,0.04,0.3,0.8,16.94,0.1,0.44,Q7.3,,"Cucumber, average of raw and cooked",Indonesia,0,0
Zucchini,Vegetables,Other vegetables,N/A,16,2.9,1,0.02,0.12,0.14,0.08,33,15.4,0,0.12,0.04,0.06,0.48,0.12,26,0,9.45,0.37,0.33,17,262.5,18.5,5.5,0,0,0,0.06,0.02,0.03,0.05,0.05,0.01,0.01,0.03,0.01,0.02,0.02,0.04,0.31,0.8,11.04,0.1,0.44,Q7.3,,"Zucchini, average of raw and cooked (boiled)",Indonesia,0,0
Egg,Animal-source foods,Eggs,N/A,164,1.05,0,4.89,2.45,7.34,3.56,175.25,0,1.98,1.2,0.05,0.44,0.07,0.15,42.5,0.9,269.88,1.47,1.14,56.5,131.75,11.25,157.75,0.05,0,0,0.35,0.28,0.63,1.01,0.84,0.35,0.26,0.63,0.15,0.47,0.53,0.77,5.92,1.1,0,0.15,0.44,Q13,,"Egg, average of various cooking methods (omelet, scrambled, boiled, fried)",Indonesia,0,0
Low-fat cottage cheese,Animal-source foods,Cheese,2341152,143,3.18,0,2.39,0.33,2.72,5.2,83,0,0.1,0.24,0.03,0.15,0.09,0.04,11,0.41,18.6,0.07,0.38,78,98,8,297,0,0,0,0.11,0.87,1.39,2.45,1.99,0.68,0.18,1.36,0.47,1.4,1.07,1.75,13.6,1.16,0,0.15,0.44,Q14,,"Cottage cheese, farmer's (low-fat)",Indonesia,1,0
Full-fat cheese,Animal-source foods,Cheese,N/A,363,2.8,0,7.81,0.73,8.54,16.31,222,0,0.5,0.34,0.03,0.34,0.12,0.07,15.5,1.53,15.68,0.41,3.3,774.75,91.25,30,783.25,0,0,0,0.11,0.87,1.39,2.45,1.99,0.68,0.18,1.36,0.47,1.4,1.07,1.75,13.6,1.16,0,0.15,0.44,Q14,,"Cheese (high-fat), average of multiple varieties of soft and hard cheeses",Indonesia,0,0
Plain whole yogurt,Animal-source foods,Yogurt,171284,61,4.66,0,0.89,0.09,0.99,2.1,27,0.5,0.1,0.06,0.03,0.14,0.08,0.03,7,0.37,15.2,0.05,0.59,121,155,12,46,0,0,0,0.1,0.09,0.19,0.35,0.31,0.1,0.03,0.19,0.02,0.18,0.14,0.29,1.88,1.16,0,0.15,0.44,Q15,,"Yogurt, plain, whole milk",Indonesia,1,0
Beef,Animal-source foods,Unprocessed red meat (ruminant),N/A,265,0,0,7.38,0.62,8.01,6.47,1.67,0,0.2,0.2,0.07,0.21,4.84,0.37,8.14,2.61,90.42,2.5,5.91,11.29,336.57,22.57,66.71,0,0,0.01,0.01,0.9,1.23,2.16,2.31,0.7,0.29,1.06,0.25,0.9,1.15,1.32,12.28,1.12,0,0.2,0.44,Q17,,"Beef, average of various cuts, deegrees of fat, and cooking methods",Indonesia,0,0
Beef organs,Animal-source foods,Organ meat,N/A,187,1.06,0,2.86,0.85,3.71,3.02,1718.6,10.58,0.7,0.29,0.1,1.64,7.43,0.37,71.1,24.14,329.78,12.1,3.57,9.4,234.7,17.7,70.6,0,0,0,0.03,0.87,1.13,2.38,1.98,0.59,0.61,1.23,0.31,0.9,1.07,1.6,12.68,1.12,0,0.2,0.44,Q17,,"Beef organs, average of liver, spleen, kidney, heart, and tongue, cooked (braised or simmered)",Indonesia,0,0
Goat,Animal-source foods,Unprocessed red meat (ruminant),175304,143,0,0,1.36,0.23,1.59,0.93,0,0,0,0.34,0.09,0.61,3.95,0,5,1.19,106.4,3.73,5.27,17,405,0,86,0,0,0,0.02,0.57,1.37,2.26,2.02,0.73,0.32,0.94,0.4,0.83,1.29,1.45,12.18,1.12,0,0.2,0.44,Q17,No other cooking methods available,"Game meat, goat, cooked, roasted",Indonesia,0,0
Buffalo,Animal-source foods,Unprocessed red meat (ruminant),175300,131,0,0,0.55,0.36,0.91,0.6,0,0,0.2,0.33,0.03,0.25,6.29,0.46,9,1.75,150.15,2.12,2.54,15,313,33,56,0,0,0,0.02,0.89,1.35,2.31,2.12,0.67,0.43,1.08,0.33,1.08,1.28,1.43,12.95,1.12,0,0.2,0.44,Q17,No other cooking methods available,"Game meat, buffalo, water, cooked, roasted",Indonesia,0,0
Deer,Animal-source foods,Unprocessed red meat (ruminant),N/A,160,0,0,0.66,0.26,0.91,1.4,0,0,0,0.66,0.22,0.57,8.42,0.64,9.75,2.7,123.55,4.41,4.54,5.6,371.4,29,53,0,0,0,0.02,1.06,1.34,2.46,2.61,0.75,0.31,1.21,0.28,1.01,1.25,1.53,13.82,1.12,0,0.2,0.44,Q17,,"Deer, average of various cuts and different cooking methods",Indonesia,0,0
Lamb,Animal-source foods,Unprocessed red meat (ruminant),N/A,252,0,0,6.51,1.25,7.75,6.33,0,0,0.1,0.17,0.1,0.26,6.6,0.14,20.6,2.63,100.6,2.08,4.92,17.4,309,26,76,0,0,0,0.02,0.82,1.25,2.01,2.28,0.66,0.31,1.05,0.3,0.87,1.1,1.39,12.04,1.12,0,0.2,0.44,Q17,,"Lamb, average of various cuts, deegrees of fat, and cooking methods",Indonesia,0,0
Boar,Animal-source foods,Unprocessed red meat (non-ruminant),175298,160,0,0,1.71,0.64,2.35,1.3,0,0,0,0.38,0.31,0.14,4.21,0.42,6,0.7,117.4,1.12,3.01,16,396,27,60,0,0,0,0.12,1.44,1.37,2.3,2.79,0.7,0.37,1.13,0.38,1.01,1.33,1.52,14.33,1.26,0,0.15,0.44,Q18,No other cooking methods available,"Game meat, boar, wild, cooked, roasted",Indonesia,0,0
Horse,Animal-source foods,Unprocessed red meat (non-ruminant),175087,175,0,0,2.12,0.85,2.97,1.9,0,2,0.41,0.36,0.1,0.12,4.84,0.33,6,3.16,110.46,5.03,3.82,8,379,25,55,0,0,0,0.12,1.08,1.33,2.23,2.4,0.62,0.39,1.16,0.35,0.88,1.26,1.46,13.17,1.26,0,0.15,0.44,Q18,No other cooking methods available,"Game meat, horse, cooked, roasted",Indonesia,0,0
Rabbit,Animal-source foods,Unprocessed red meat (non-ruminant),N/A,192,0,0,1.8,1.29,3.09,1.99,0,0,0,0.43,0.06,0.15,7.33,0.38,9.33,7.11,125.55,3.16,2.34,19,342,24,43,0,0,0,0.12,0.86,1.46,2.4,2.7,0.77,0.39,1.27,0.41,1.1,1.38,1.57,14.3,1.26,0,0.15,0.44,Q18,,"Rabbit, average of domesticated and wild and of different cooking methods",Indonesia,0,0
Pork,Animal-source foods,Unprocessed red meat (non-ruminant),N/A,288,0,0,8.78,2.46,11.23,7.12,2.67,0.18,1.23,0.29,0.49,0.36,6.26,0.41,2.67,0.8,88.42,1.2,3.1,29,337.33,20.83,78.17,0,0,0.01,0.12,1.03,1.21,2.1,2.32,0.69,0.31,1.07,0.32,0.98,1.16,1.36,12.56,1.26,0,0.15,0.44,Q18,,"Pork, average of various cuts, deegrees of fat, and cooking methods",Indonesia,0,0
Dove,Animal-source foods,Poultry,169905,213,0,0,5.46,2.73,8.2,3.74,28,2.9,0.2,0.06,0.28,0.35,7.6,0.57,6,0.41,63.6,5.91,3.83,17,256,26,57,0.02,0.01,0.04,0.03,0.65,1.16,1.89,1.92,0.6,0.33,0.99,0.27,0.82,1,1.23,10.88,1.08,0,0.15,0.44,Q19,No other cooking methods available,"Dove, cooked (includes pigeon)",Indonesia,0,0
Chicken organs,Animal-source foods,Organ meat,,177,0.55,0,1.71,1.96,3.67,2.15,2073.25,8.55,0,0.8,0.18,1.45,7.64,0.56,324.5,13.14,308.4,10.64,5.65,14.75,210.5,23,66,0,0,0,0.01,0.71,1.3,2.24,2.07,0.63,0.38,1.19,0.3,0.95,1.12,1.47,12.35,1.08,0,0.15,0.44,Q19,,"Chicken organs, average of heart and liver, cooked (pan-fried or simmered)",Indonesia,0,0
Duck,Animal-source foods,Poultry,N/A,291,0,0,9.86,2.92,12.78,7.74,49.67,0,0.1,0.7,0.2,0.34,4.9,0.2,7.33,0.33,55.1,2.69,2.1,11.33,219.33,17.33,169,0,0,0,0,0.46,0.87,1.47,1.49,0.48,0.3,0.75,0.23,0.64,0.77,0.94,8.39,1.08,0,0.15,0.44,Q19,,"Duck, average of with and without skin and of different cooking methods",Indonesia,0,0
Chicken,Animal-source foods,Poultry,N/A,208,0.25,0,4.22,2.4,6.63,2.96,26.83,0,0.1,0.28,0.07,0.2,6.71,0.4,5,0.32,63.43,1.41,2.33,17.29,274,22,85.29,0.04,0.01,0.02,0.08,0.79,1.31,1.97,2.21,0.71,0.32,1.02,0.29,0.88,1.1,1.27,11.88,1.08,0,0.15,0.44,Q19,,"Chicken, average of various cuts, with and without skin, and of different cooking methods",Indonesia,0,0
Lean fish,Animal-source foods,Fish and seafood,N/A,169,2.35,0.1,2.99,2.2,5.18,1.67,13.6,0.32,1.73,1.42,0.06,0.08,2.91,0.23,21.8,2.58,64.13,0.57,0.49,19.4,383.4,28.8,254.4,0.12,0.02,0.03,0.96,0.77,1.21,2.14,2.42,0.78,0.28,1.03,0.29,0.89,1.15,1.36,12.32,1,0,0.15,0.44,Q20,,"Lean fish, average of various species consumed in Indonesia and of different cooking methods",Indonesia,0,0
Fatty fish,Animal-source foods,Fish and seafood,N/A,200,2.93,0.13,3.54,2.92,6.46,2.16,18.5,1.45,9.3,2.13,0.13,0.27,9.69,0.46,17,2.93,71.35,1.61,1.12,37.75,449.25,36,209,0.57,0.36,0.09,0.19,0.75,1.18,2.08,2.35,0.76,0.27,1,0.29,0.86,1.12,1.32,11.96,1,0,0.15,0.44,Q20,,"Oily fish, average of various species consumed in Indonesia and of different cooking methods",Indonesia,0,0
Crustaceans,Animal-source foods,Fish and seafood,N/A,131,3.04,0.08,1.19,1.38,2.56,0.67,44.33,2.1,0.08,2.24,0.06,0.09,2.94,0.18,30.83,3.56,96.85,1.07,3.07,67.17,181.83,39.5,508.83,0.11,0.17,0.01,0.01,0.48,1.06,1.81,1.98,0.63,0.26,0.95,0.3,0.8,0.91,1.06,10.23,1,0,0.15,0.44,Q20,,"Crustaceans, average of various species consumed in Indonesia, and of different cooking methods",Indonesia,0,0
Bivalves,Animal-source foods,Fish and seafood,N/A,162,8.58,0.14,1.83,2.12,3.95,0.99,71.57,6.93,0,1.23,0.13,0.22,2.12,0.08,34,24.05,76.48,3.76,10.27,37.43,282,28.86,522.29,0.21,0.23,0.03,0.39,0.41,0.92,1.51,1.59,0.51,0.27,0.76,0.23,0.67,0.89,0.91,8.67,1,0,0.15,0.44,Q20,,"Bivalve mollusks, average of various species consumed in Indonesia, and of different cooking methods",Indonesia,0,0
Whole milk powder,Animal-source foods,Milk,173454,496,38.42,0,7.92,0.67,8.59,16.74,258,8.6,0.5,0.58,0.28,1.21,0.65,0.3,37,3.25,117.4,0.47,3.34,912,1330,85,371,0,0,0,0.65,0.71,1.59,2.58,2.09,0.66,0.24,1.27,0.37,1.27,1.19,1.76,13.74,1.16,0,0.15,0.44,Q25,,"Milk (cow), dry, whole, without added vitamin D",Indonesia,1,1
Whole cow milk,Animal-source foods,Milk,172217,61,4.78,0,0.81,0.2,1.01,1.87,46,0,0.1,0.07,0.05,0.17,0.09,0.04,5,0.45,14.3,0.03,0.37,113,132,10,43,0,0,0,0.08,0.1,0.16,0.3,0.26,0.08,0.02,0.16,0.04,0.16,0.13,0.21,1.63,1.16,0,0.15,0.44,Q25,,"Milk (cow), whole, 3.25% milkfat, without added vitamin A and vitamin D",Indonesia,1,0
Whole sheep milk,Animal-source foods,Milk,N/A,89,4.91,0,1.42,0.23,1.65,3.64,50.5,2.75,1.3,0.07,0.06,0.25,0.35,0.05,4,0.39,16,0.08,0.42,163.5,170.5,16,47,0,0,0,0.08,0.17,0.34,0.59,0.51,0.16,0.04,0.28,0.08,0.28,0.27,0.45,3.16,1.17,0,0.15,0.44,Q25,,"Milk, sheep/goat, fluid, whole, unenriched",Indonesia,1,0
Mango,Fruits,Vitamin A-rich fruits,169910,60,14.98,1.6,0.14,0.07,0.21,0.09,54,36.4,0,0.9,0.03,0.04,0.67,0.12,43,0,7.6,0.16,0.09,11,168,10,1,0,0,0,0.11,0.02,0.03,0.05,0.07,0.01,0,0.03,0.01,0.02,0.03,0.04,0.3,0.7,25,0.1,0.44,Q8,,"Mangos, raw",Bangladesh,0,0
Papaya,Fruits,Vitamin A-rich fruits,169926,43,10.82,1.7,0.07,0.06,0.13,0.08,47,60.9,0,0.3,0.02,0.03,0.36,0.04,37,0,6.1,0.25,0.08,20,182,21,8,0,0,0,0.11,0.01,0.01,0.02,0.03,0,0,0.01,0.01,0.01,0.01,0.01,0.1,0.7,22.8,0.1,0.44,Q8,,"Papayas, raw",Bangladesh,0,0
Cantaloupe,Fruits,Vitamin A-rich fruits,169092,34,8.16,0.9,0,0.08,0.08,0.05,169,36.7,0,0.05,0.04,0.02,0.73,0.07,21,0,7.6,0.21,0.18,9,267,12,16,0,0,0,0.11,0.02,0.02,0.03,0.03,0.01,0,0.02,0,0.01,0.02,0.03,0.2,0.7,20,0.1,0.44,Q8,,"Melons, cantaloupe, raw",Bangladesh,0,0
Orange,Fruits,Citrus,169097,47,11.8,2.4,0.02,0.03,0.05,0.02,11,53.2,0,0.18,0.09,0.04,0.28,0.06,30,0,8.4,0.1,0.07,40,181,10,0,0,0,0,0.11,0.02,0.03,0.02,0.05,0.02,0.01,0.03,0.01,0.02,0.02,0.04,0.25,0.7,10,0.1,0.44,Q9,,"Oranges, raw, all commercial varieties",Bangladesh,0,0
Malta orange,Fruits,Citrus,08_0032 from BGD FCT,49,10.7,2.4,0.02,0.02,0.04,0.01,11,54,0,0.18,0.15,0.01,0.4,0.08,46,0,8.05,0.1,0.07,31,181,10,2,0,0,0,0.11,0.01,0.02,0.02,0.03,0.01,0.01,0.03,0.01,0.01,0.01,0.03,0.19,0.7,10,0.1,0.44,Q9,Phytate value for sweet orange missing; used phytate value for orange as a proxy,"Orange, sweet, ripe, raw (malta)",Bangladesh,0,0
Grapefruit,Fruits,Citrus,173033,32,8.08,1.1,0.01,0.02,0.04,0.01,46,34.4,0,0.13,0.04,0.02,0.25,0.04,10,0,7.7,0.09,0.07,12,139,8,0,0,0,0,0.11,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.13,0.7,20.36,0.1,0.44,Q9,Phytate value for grapefruit missing; used phytate value for pomelo as a proxy,"Grapefruit, raw, pink and red and white, all areas",Bangladesh,0,0
Banana,Fruits,Other fruits,173944,89,22.8,2.6,0.03,0.07,0.11,0.11,3,8.7,0,0.1,0.03,0.07,0.67,0.37,20,0,9.8,0.26,0.15,5,358,27,1,0,0,0,0.05,0.08,0.03,0.07,0.05,0.01,0.01,0.05,0.01,0.01,0.03,0.05,0.38,0.7,22,0.1,0.44,Q10.1,,"Bananas, raw",Bangladesh,0,0
Guava,Fruits,Other fruits,173044,68,14.3,5.4,0.09,0.4,0.49,0.27,31,228.3,0,0.73,0.07,0.04,1.08,0.11,49,0,7.6,0.26,0.23,18,417,22,2,0,0,0,0.06,0.02,0.09,0.17,0.07,0.02,0.01,0.01,0.02,0.03,0.1,0.09,0.62,0.7,50.63,0.1,0.44,Q10.1,For phytate: used an average of pink and white flesh guava,"Guavas, common, raw",Bangladesh,0,0
Watermelon,Fruits,Other fruits,167765,127,7.55,0.4,0.04,0.05,0.09,0.02,28,8.1,0,0.05,0.03,0.02,0.18,0.05,3,0,4.1,0.24,0.1,7,112,10,1,0,0,0,0.06,0.01,0.02,0.02,0.06,0.01,0,0.02,0.01,0.01,0.03,0.02,0.19,0.7,3.9,0.1,0.44,Q10.1,,"Watermelon, raw",Bangladesh,0,0
Pineapple,Fruits,Other fruits,169124,50,13.1,1.4,0.01,0.04,0.05,0.01,3,47.8,0,0.02,0.08,0.03,0.5,0.11,18,0,5.5,0.29,0.12,13,109,12,1,0,0,0,0.06,0.01,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.19,0.7,8.59,0.1,0.44,Q10.1,,"Pineapple, raw, all varieties",Bangladesh,0,0
Custard apple,Fruits,Other fruits, 171725,101,25.2,2.4,0.06,0.12,0.17,0.23,2,19.2,0,0.24,0.08,0.1,0.5,0.22,19.5,0,6.08,0.71,0.13,30,382,18,4,0,0,0,0.06,0.03,0.04,0.07,0.04,0,0.01,0.02,0.01,0.03,0.04,0.05,0.33,0.7,15.22,0.1,0.44,Q10.1,,"Custard-apple, (bullock's-heart), raw",Bangladesh,0,0
Apple,Fruits,Other fruits,171688,52,13.8,2.4,0.01,0.05,0.06,0.03,3,4.6,0,0.18,0.02,0.03,0.09,0.04,3,0,3.4,0.12,0.04,6,107,5,1,0,0,0,0.06,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0.01,0.01,0.06,0.7,0.51,0.1,0.44,Q10.1,For phytate: used an average of big and small apple,"Apples, raw, with skin ",Bangladesh,0,0
Jackfruit,Fruits,Other fruits,174687,95,23.2,1.5,0.16,0.09,0.25,0.2,5,13.7,0,0.34,0.11,0.06,0.92,0.33,24,0,6.08,0.23,0.13,24,448,29,2,0,0,0,0.08,0.03,0.07,0.1,0.07,0.03,0.02,0.05,0.03,0.1,0.09,0.09,0.69,0.7,68.79,0.1,0.35,Q10.1,,"Jackfruit, raw",Bangladesh,0,0
Rose apple,Fruits,Other fruits,168171,25,5.7,1.9,0.08,0.16,0.23,0.06,17,22.3,0,0.11,0.02,0.03,0.8,0.06,13,0,7.35,0.07,0.06,29,123,5,0,0,0,0,0.2,0.01,0.04,0.08,0.06,0.02,0.01,0.04,0.01,0.04,0.04,0.05,0.4,0.7,0.51,0.1,0.44,Q10.2,Phytate value for rose-apple missing; used phytate value for apple as a proxy,"Rose-apples, raw (jamrul)",Bangladesh,0,0
