Food,Food_group,DQQ_food_group,USDA_FDC_ID,Energy_kcal,Carbohydrates,Fiber,Monounsaturated_FAs_g,Polyunsaturated_FAs_g,Unsaturated_FAs_g,Saturated_FAs_g,VitA_RAE_mcg,VitC_mg,VitD_mcg,VitE_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_DFE_mcg,VitB12_mcg,Choline_mg,Iron_mg,Zinc_mg,Calcium_mg,Potassium_mg,Magnesium_mg,Sodium,DHA_g,EPA_g,DPA_g,ALA_g,His_g,Ile_g,Leu_g,Lys_g,Met_g_SAA,Cys_g_SAA,Phe_g_AAA,Trp_g_AAA,Tyr_g_AAA,Thr_g,Val_g,EAA_quantity,DIAAS,Phytate_mg,Iron_Abs,Zinc_Abs,DQQ_question,Comments,Food_long,Country,Liquids,Dried_Foods
Starfruit,Fruits,Other fruits,171715,31,6.73,2.8,0.03,0.18,0.21,0.02,3,34.4,0,0.15,0.01,0.02,0.37,0.02,12,0,7.6,0.08,0.12,3,133,10,2,0,0,0,0.2,0.01,0.04,0.08,0.08,0.02,0.01,0.04,0.01,0.04,0.04,0.05,0.42,0.7,3.8,0.1,0.44,Q10.2,,"Carambola, raw (starfruit)",Bangladesh,0,0
Jujube,Fruits,Other fruits,168151,79,20.23,1.9,0.08,0.16,0.23,0.06,2,69,0,0.11,0.02,0.04,0.9,0.08,13,0,7.35,0.48,0.05,21,250,10,3,0,0,0,0.2,0.01,0.04,0.08,0.06,0.02,0.01,0.04,0.01,0.04,0.04,0.05,0.4,0.7,15.8,0.1,0.44,Q10.2,,"Jujube, raw",Bangladesh,0,0
Java plum (jambolan),Fruits,Other fruits,168150,60,15.56,1.9,0.08,0.16,0.23,0.06,0,14.3,0,0.11,0.01,0.01,0.26,0.04,13,0,7.35,0.19,0.09,19,79,15,14,0,0,0,0.2,0.01,0.04,0.08,0.06,0.02,0.01,0.04,0.01,0.04,0.04,0.05,0.4,0.7,8,0.1,0.44,Q10.2,,"Java-plum, raw (jambolan)",Bangladesh,0,0
Hog plum (amra),Fruits,Other fruits,08_0016 from BGD FCT,51,8.9,1.6,0.08,0.16,0.23,0.06,4.4,77,0,0.11,0.28,0.04,0.3,0.06,13,0,7.35,2.8,0.17,57,175,40,1,0,0,0,0.2,0.01,0.04,0.08,0.06,0.02,0.01,0.04,0.01,0.04,0.04,0.05,0.39,0.7,3.81,0.1,0.44,Q10.2,Phytate value for hog plum missing; used phytate value for plum as a proxy,"Hog plum, raw (amra)",Bangladesh,0,0
Lychee,Fruits,Other fruits,169086,66,16.53,1.3,0.12,0.13,0.25,0.1,0,71.5,0,0.07,0.01,0.07,0.6,0.1,14,0,7.1,0.31,0.07,5,171,10,1,0,0,0,0.2,0.01,0.04,0.08,0.04,0.01,0.01,0.04,0.01,0.04,0.04,0.05,0.37,0.7,2.57,0.1,0.44,Q10.2,,"Litchis, raw",Bangladesh,0,0
White rice,Starchy staples,Refined grains,N/A,130,28.5,0.4,0.07,0.06,0.13,0.06,0,0,0,0.04,0.02,0.02,0.4,0.07,2.33,0,2.1,0.2,0.44,4.67,30,11,0.33,0,0,0,0.01,0.06,0.11,0.2,0.09,0.06,0.05,0.13,0.03,0.08,0.09,0.15,1.05,0.56,45.7,0.1,0.44,Q1,,"White rice, cooked, unenriched, average of long-, medium-, and short-grain",Bangladesh,0,0
Paratha,Starchy staples,Refined grains,2343195,326,45.35,9.6,3.84,2.48,6.32,5.83,2,0,0,1.35,0.09,0.08,1.83,0.08,8,0,6.3,1.61,0.82,25,139,37,452,0,0,0,0.01,0.06,0.11,0.2,0.09,0.06,0.05,0.13,0.03,0.08,0.09,0.15,0.9,0.29,249.46,0.1,0.26,Q1,"Used phytate value for flat bread, white wheat-flour","Bread, paratha",Bangladesh,0,0
Brown rice,Starchy staples,Whole grains,N/A,118,24.55,1.7,0.33,0.33,0.67,0.21,0,0,0,0.17,0.14,0.04,1.95,0.14,6.5,0,9.2,0.55,0.67,6.5,82.5,41.5,2.5,0,0,0,0.01,0.06,0.1,0.2,0.09,0.06,0.03,0.13,0.03,0.09,0.09,0.14,1.03,0.56,612.16,0.1,0.26,Q2,,"Brown rice, cooked, unenriched, average of long- and medium-grain",Bangladesh,0,0
Chapati (roti),Starchy staples,Whole grains,2343193,299,46.13,9.7,2.09,0.76,2.85,3.31,0,0,0,0.55,0.36,0.18,4.61,0.28,38,0,7.8,2.2,1.54,36,196,56,298,0,0,0,0.01,0.17,0.22,0.67,0.19,0.12,0.1,0.29,0.05,0.23,0.22,0.31,2.57,0.29,249.46,0.1,0.26,Q2,"Used phytate value for flat bread, white wheat-flour","Bread, chappatti or roti",Bangladesh,0,0
Corn,Starchy staples,Whole grains,N/A,97,21.35,2.55,0.37,0.6,0.98,0.2,6.5,5.85,0,0.09,0.09,0.06,1.67,0.13,21.5,0,29.1,0.5,0.58,2.5,235,28.5,2,0,0,0,0.01,0.09,0.13,0.36,0.14,0.07,0.03,0.16,0.02,0.13,0.13,0.19,1.45,0.42,196,0.1,0.26,Q2,,"Corn, boiled, average of sweet white and yellow varieties",Bangladesh,0,0
Unsalted popcorn,Starchy staples,Whole grains,170246,382,77.9,15.1,1.1,1.9,3,0.57,1,0,0,0.27,0.2,0.28,1.94,0.25,23,0,15.37,2.66,3.44,10,301,131,4,0,0,0,0.01,0.37,0.43,1.47,0.34,0.25,0.22,0.59,0.09,0.49,0.45,0.61,5.3,0.42,39,0.1,0.44,Q2,,"Snacks, popcorn, air-popped (Unsalted)",Bangladesh,0,0
Sweet potato,Starchy staples,"White roots, tubers, and plantains",N/A,110,19.06,2.93,1.22,1.29,2.51,0.46,872.67,16.73,0,1.25,0.09,0.08,1.12,0.24,5.67,0,11.93,0.68,0.27,33.33,378.33,23,78.67,0,0,0,0,0.03,0.06,0.1,0.07,0.03,0.02,0.1,0.03,0.04,0.09,0.09,0.67,1.25,10.33,0.1,0.44,Q3,,"Sweet potato, cooked, average of boiled, baked and fried",Bangladesh,0,0
Potato,Starchy staples,"White roots, tubers, and plantains",N/A,107,20.7,1.86,0.75,0.8,1.55,0.28,0.43,11,0,0.34,0.08,0.03,1.38,0.3,18.29,0,14.19,0.7,0.32,9.86,451.57,25.57,92.43,0,0,0,0.04,0.04,0.08,0.12,0.12,0.03,0.03,0.09,0.03,0.07,0.07,0.11,0.79,1.25,47.61,0.1,0.44,Q3,,"Potato, cooked, average of skin eaten and not eaten and of boiled, baked, fried, and roasted",Bangladesh,0,0
Plaintain,Starchy staples,"White roots, tubers, and plantains",N/A,195,39.9,2.77,1.46,0.93,2.38,1.25,52.5,9.63,0,0,0.06,0.1,0.63,0.23,53,0,12.7,0.42,0.19,3.33,416,42.33,2,0,0,0,0.08,0.09,0.03,0.06,0.06,0.01,0.02,0.04,0.02,0.03,0.04,0.03,0.43,0.71,11.48,0.1,0.44,Q3,,"Plaintains, average of green and yellow and of boiled, baked, and frie",Bangladesh,0,0
Dal,"Pulses, nuts, and seeds",Legumes,2342902,145,19.17,7.5,1.2,0.31,1.51,2.51,33,1.4,0,0.22,0.16,0.07,1.01,0.17,172,0,32,3.17,1.21,19,352,34,309,0,0,0,0.1,0.24,0.38,0.63,0.59,0.12,0.12,0.48,0.09,0.22,0.33,0.37,3.56,0.5,388.8,0.1,0.26,Q4,"Used average phytate value for bengal, black, green, and red gram, and for lentils",Dal,Bangladesh,0,0
Chickpeas,"Pulses, nuts, and seeds",Legumes,173757,164,27.42,7.6,0.58,1.16,1.74,0.27,1,1.3,0,0.35,0.12,0.06,0.53,0.14,172,0,42.8,2.89,1.53,49,291,48,7,0,0,0,0.1,0.24,0.38,0.63,0.59,0.12,0.12,0.48,0.09,0.22,0.33,0.37,3.56,0.76,76.93,0.1,0.35,Q4,,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt",Bangladesh,0,0
Jackfruit seeds,"Pulses, nuts, and seeds",Nuts and seeds,06_0008 from BGD FCT,151,30.4,1.5,25.53,13.54,39.07,7.56,0,8.6,0,6.72,0.21,0.11,3.1,0.43,152.33,0,57.37,1.5,3.11,40,246,54,63,0,0,0,0.03,0.64,0.91,1.67,0.91,0.3,0.34,1.34,0.24,1.01,0.77,1.07,9.19,0.67,141,0.1,0.3,Q21,,"Jackfruit seeds, raw",Bangladesh,0,0
Peanuts,"Pulses, nuts, and seeds",Nuts and seeds,N/A,584,17.55,8.77,25.53,13.54,39.07,7.56,0,0.27,0,6.72,0.29,0.14,13.42,0.43,152.33,0,57.37,2.56,3.11,70.33,688.33,174,10,0,0,0,0.03,0.64,0.91,1.67,0.91,0.3,0.34,1.34,0.24,1.01,0.77,1.07,9.19,0.43,1497.5,0.1,0.26,Q21,,"Peanuts, average of raw, dry-roasted and oil-roasted",Bangladesh,0,0
Carrots,Vegetables,Vitamin A-rich orange vegetables,N/A,38,8.9,2.9,0.01,0.1,0.1,0.03,843.5,4.75,0,0.85,0.07,0.05,0.81,0.15,16.5,0,8.8,0.32,0.22,31.5,277.5,11,63.5,0,0,0,0,0.04,0.07,0.09,0.09,0.02,0.08,0.06,0.01,0.04,0.17,0.06,0.73,0.8,88.2,0.1,0.35,Q5,,"Carrots, average of raw and cooked (boiled)",Bangladesh,0,0
Pumpkin,Vegetables,Vitamin A-rich orange vegetables,N/A,23,5.7,0.8,0.01,0,0.02,0.04,357,6.85,0,0.93,0.04,0.09,0.51,0.05,12.5,0,7.2,0.69,0.28,18,285,10.5,1,0,0,0,0,0.01,0.03,0.04,0.05,0.01,0,0.03,0.01,0.04,0.03,0.03,0.27,0.8,19.72,0.1,0.44,Q5,,"Pumpkin, average of raw and cooked (boiled)",Bangladesh,0,0
Malabar spinach,Vegetables,Dark green leafy vegetables,N/A,21,3.06,2.1,0.03,0.13,0.16,0.06,229,53.95,0,2.06,0.08,0.14,0.64,0.16,127,0,19.5,1.34,0.37,116.5,383,56.5,39.5,0,0,0,0.14,0.04,0.05,0.1,0.09,0.02,0.03,0.09,0.03,0.05,0.06,0.07,0.61,0.8,22.3,0.1,0.44,Q6.1,,"Malabar/Vine spinach (pui shak), average of raw and cooked (boiled) ",Bangladesh,0,0
Spinach,Vegetables,Dark green leafy vegetables,N/A,23,3.69,2.3,0.01,0.14,0.15,0.05,496.5,18.95,0,2.06,0.09,0.21,0.61,0.22,170,0,19.5,3.14,0.65,117.5,512,83,74.5,0,0,0,0.14,0.07,0.15,0.23,0.18,0.05,0.04,0.13,0.04,0.11,0.12,0.16,1.28,0.8,12.01,0.1,0.44,Q6.1,,"Spinach, average of raw and cooked (boiled)",Bangladesh,0,0
Red amaranth leaves,Vegetables,Dark green leafy vegetables,N/A,35,0.55,4.6,0.03,0.13,0.16,0.06,817.5,30.9,0,2.06,0.03,0.12,1.4,0.17,67.5,0,19.5,5.65,0.91,271.5,207.5,155,56,0,0,0,0.14,0.05,0.1,0.17,0.13,0.04,0.03,0.11,0.03,0.08,0.09,0.12,0.95,0.8,10,0.1,0.44,Q6.1,,"Red amaranth leaves (lal shak), average of raw and cooked (boiled)",Bangladesh,0,0
Amaranth leaves,Vegetables,Dark green leafy vegetables,N/A,22,4.07,3,0.06,0.11,0.17,0.07,142.5,42.2,0,2.06,0.02,0.15,0.61,0.18,71,0,19.5,2.29,0.89,212,626,55,20.5,0,0,0,0.14,0.05,0.11,0.18,0.12,0.03,0.03,0.12,0.03,0.07,0.09,0.13,0.96,0.8,17.7,0.1,0.44,Q6.1,,"Amaranth leaves, average of raw and cooked (boiled)",Bangladesh,0,0
Eggplant,Vegetables,Other vegetables,N/A,127,15.53,2.25,2.5,2.58,5.08,0.93,3.5,1.05,0.05,1.26,0.17,0.08,1.3,0.07,43,0.02,11.9,0.93,0.22,17,129,12.5,158,0,0,0,0.07,0.02,0.04,0.05,0.04,0.01,0,0.04,0.01,0.02,0.03,0.04,0.3,0.8,12.28,0.1,0.44,Q7.1,,"Eggplant, average of boiled and fried",Bangladesh,0,0
Okra,Vegetables,Other vegetables,N/A,121,13.44,2.05,2.51,2.55,5.06,0.93,12,9.95,0.05,1.19,0.2,0.11,1.43,0.11,74,0.02,12.25,1,0.44,64.5,123,29.5,161,0,0,0,0.07,0.03,0.07,0.1,0.08,0.02,0.02,0.06,0.02,0.08,0.06,0.09,0.61,0.8,13,0.1,0.44,Q7.1,,"Okra (lady finger), average of boiled and fried",Bangladesh,0,0
Cauliflower,Vegetables,Other vegetables,N/A,121,13.01,1.95,2.51,2.63,5.14,0.96,3,30.2,0.05,1.04,0.15,0.1,1.17,0.13,64,0.02,34.1,1,0.27,24.5,150.5,11.5,170.5,0,0,0,0.07,0.04,0.07,0.11,0.1,0.03,0.02,0.07,0.02,0.04,0.07,0.09,0.65,0.8,18.48,0.1,0.44,Q7.1,,"Cauliflower, average of boiled and fried",Bangladesh,0,0
Tomatoes,Vegetables,Other vegetables,N/A,19,4,0.93,0.03,0.08,0.11,0.03,24.5,17.23,0,0.49,0.04,0.03,0.7,0.07,16.75,0,7.4,0.49,0.17,11.25,229.25,10.5,13,0,0,0,0.07,0.02,0.02,0.04,0.04,0.01,0.01,0.03,0.01,0.02,0.03,0.03,0.24,0.8,1.74,0.1,0.44,Q7.1,,"Tomatoes, average of red, yellow and green, and of raw and cooked",Bangladesh,0,0
Long bean,Vegetables,Other vegetables,169223,47,9.18,2.03,0.01,0.04,0.05,0.03,23,16.2,0,0.76,0.09,0.1,0.63,0.02,45,0,15.9,0.98,0.36,44,290,42,4,0,0,0,0.07,0.08,0.14,0.18,0.17,0.04,0.04,0.14,0.03,0.1,0.09,0.15,1.15,0.8,688,0.1,0.26,Q7.1,"Used phytate for winged bean as as a proxy, as value for long bean was missing","Yardlong bean (long bean), cooked, boiled, drained, without salt",Bangladesh,0,0
Green beans,Vegetables,Other vegetables,169141,35,7.88,3.2,0.01,0.15,0.16,0.06,32,9.7,0,0.46,0.07,0.1,0.61,0.06,33,0,16.9,0.65,0.25,44,146,18,1,0,0,0,0.07,0.04,0.07,0.12,0.09,0.02,0.02,0.07,0.02,0.04,0.08,0.09,0.66,0.8,688,0.1,0.26,Q7.1,"Used phytate for winged bean as as a proxy, as value for green bean was missing","Beans, snap, green, cooked, boiled, drained, without salt",Bangladesh,0,0
Cabbage,Vegetables,Other vegetables,N/A,20,4.24,1.83,0.02,0.04,0.06,0.03,18.25,29.23,0,0.14,0.05,0.04,0.35,0.16,51.25,0,12.87,0.31,0.2,49.25,207.25,12.5,11,0,0,0,0.07,0.02,0.05,0.06,0.06,0.01,0.01,0.04,0.01,0.02,0.04,0.05,0.38,0.8,11.21,0.1,0.44,Q7.1,,"Cabbage, average of common and Chinese (pe-tsai), and of raw and cooked",Bangladesh,0,0
Calabash,Vegetables,Other vegetables,169233,15,3.69,1.2,0,0.01,0.01,0,4,8.5,0,0.11,0.03,0.02,0.39,0.04,4,0,7.85,0.25,0.7,24,170,11,2,0,0,0,0.07,0,0.03,0.04,0.02,0,0.03,0.01,0,0.05,0.02,0.03,0.24,0.8,11.83,0.1,0.44,Q7.2,Used phytate for raw bottled gourd as phytate value for cooked was missing,"Gourd, white-flowered (calabash or bottle gourd), cooked, boiled, drained, without salt",Bangladesh,0,0
Bitter melon,Vegetables,Other vegetables,168394,19,4.32,2,0.03,0.08,0.11,0.01,6,33,0,0.14,0.05,0.05,0.28,0.04,51,0,10.8,0.38,0.77,9,319,16,6,0,0,0,0.07,0,0.03,0.04,0.02,0,0.03,0.01,0,0.05,0.02,0.03,0.23,0.8,13.84,0.1,0.44,Q7.2,Used phytate for raw bitter gourd as phytate value for cooked was missing,"Balsam-pear (bitter gourd or bitter melon), pods, cooked, boiled, drained, without salt",Bangladesh,0,0
Pointed gourd,Vegetables,Other vegetables,03_0038 from BGD FCT,28,2.5,2.5,0.02,0.06,0.08,0.01,6,13.5,0,0.11,0.13,0.03,0.6,0.03,10,0,7.85,1.7,0.39,20,115,15,26,0,0,0,0.07,0,0.03,0.04,0.02,0,0.03,0.01,0,0.05,0.02,0.03,0.23,0.8,29.19,0.1,0.44,Q7.2,Used phytate for raw pointed gourd as value for cooked was missing,"Gourd, pointed, boiled (without salt)",Bangladesh,0,0
Ash gourd,Vegetables,Other vegetables,N/A,14,3.02,1.95,0.04,0.09,0.12,0.02,0,11.75,0,0.08,0.04,0.06,0.39,0.03,4.5,0,4.9,0.39,0.6,18.5,5.5,10,109,0,0,0,0.07,0,0.03,0.04,0.01,0,0.03,0.01,0,0.05,0.02,0.03,0.22,0.8,14.6,0.1,0.44,Q7.2,,"Ash gourd, average of raw and cooked",Bangladesh,0,0
Kohlrabi,Vegetables,Other vegetables,N/A,28,6.45,2.35,0.01,0.05,0.06,0.01,2,58,0,0.5,0.05,0.02,0.4,0.15,14,0,12.75,0.4,0.17,24.5,345,19,20.5,0,0,0,0.07,0.02,0.08,0.07,0.06,0.01,0.01,0.04,0.01,0.02,0.05,0.05,0.42,0.8,9.81,0.1,0.44,Q7.3,,"Kohlrabi, average of raw and cooked (boiled)",Bangladesh,0,0
Taro shoots,Vegetables,Other vegetables,169309,14,3.2,1.81,0.01,0.03,0.04,0.02,3,18.9,0,0.25,0.04,0.05,0.81,0.11,3,0,9.9,0.41,0.54,14,344,8,2,0,0,0,0.07,0.02,0.03,0.04,0.04,0.01,0.01,0.03,0,0.02,0.03,0.04,0.26,0.8,26.49,0.1,0.44,Q7.3,Used phytate for raw taro shoots as phytate value for cooked was missing,"Taro shoots, cooked, without salt",Bangladesh,0,0
Green papaya,Vegetables,Other vegetables,N/A,31,5.9,1.55,0.01,0.05,0.06,0.02,1,15.4,0,0.25,0.03,0.02,0.15,0.11,12.22,0,9.9,0.6,0.21,16,111.5,52,7.5,0,0,0,0.07,0.02,0.03,0.04,0.04,0.01,0.01,0.03,0,0.02,0.03,0.04,0.26,0.8,23,0.1,0.44,Q7.3,,"Green papaya, average of raw and cooked (boiled)",Bangladesh,0,0
Radish,Vegetables,Other vegetables,N/A,16,3.39,1.53,0.02,0.07,0.09,0.04,0,22.03,0,0,0.02,0.02,0.22,0.05,19.67,0,7.05,0.45,0.14,23.67,264,11.33,16.67,0,0,0,0.07,0.02,0.03,0.04,0.04,0.01,0.01,0.03,0,0.02,0.03,0.04,0.26,0.8,1.75,0.1,0.44,Q7.3,,"Radish, average of oriental and icicle white radish, and of raw and cooked (boiled)",Bangladesh,0,0
Egg,Animal-source foods,Eggs,N/A,164,1.05,0,4.89,2.45,7.34,3.56,175.25,0,1.98,1.2,0.05,0.44,0.07,0.15,42.5,0.9,269.88,1.47,1.14,56.5,131.75,11.25,157.75,0.05,0,0,0.35,0.28,0.63,1.01,0.84,0.35,0.26,0.63,0.15,0.47,0.53,0.77,5.92,1.1,0,0.15,0.44,Q13,,"Egg, average of various cooking methods (omelet, scrambled, boiled, fried)",Bangladesh,0,0
Full-fat cheese,Animal-source foods,Cheese,N/A,363,2.8,0,7.81,0.73,8.54,16.31,222,0,0.5,0.34,0.03,0.34,0.12,0.07,15.5,1.53,15.68,0.41,3.3,774.75,91.25,30,783.25,0,0,0,0.11,0.87,1.39,2.45,1.99,0.68,0.18,1.36,0.47,1.4,1.07,1.75,13.6,1.16,0,0.15,0.44,Q14,,"Cheese (high-fat), average of multiple varieties of soft and hard cheeses",Bangladesh,0,0
Low-fat cottage cheese,Animal-source foods,Cheese,2341152,143,3.18,0,2.39,0.33,2.72,5.2,83,0,0.1,0.24,0.03,0.15,0.09,0.04,11,0.41,18.6,0.07,0.38,78,98,8,297,0,0,0,0.11,0.87,1.39,2.45,1.99,0.68,0.18,1.36,0.47,1.4,1.07,1.75,13.6,1.16,0,0.15,0.44,Q14,,"Cottage cheese, farmer's (low-fat)",Bangladesh,1,0
Paneer,Animal-source foods,Cheese,2341143,299,22.46,0,3.34,0.52,3.86,9.02,155,0,5.3,0.24,0.27,0.67,0.51,0.3,0,2.62,86.3,0,2.04,597,728,58,185,0,0.01,0.01,0.11,0.87,1.39,2.45,1.99,0.68,0.18,1.36,0.47,1.4,1.07,1.75,13.6,1.16,0,0.15,0.44,Q14,,"Cheese, paneer",Bangladesh,0,0
Plain whole yogurt,Animal-source foods,Yogurt,171284,61,4.66,0,0.89,0.09,0.99,2.1,27,0.5,0.1,0.06,0.03,0.14,0.08,0.03,7,0.37,15.2,0.05,0.59,121,155,12,46,0,0,0,0.1,0.09,0.19,0.35,0.31,0.1,0.03,0.19,0.02,0.18,0.14,0.29,1.88,1.16,0,0.15,0.44,Q15,,"Yogurt, plain, whole milk",Bangladesh,1,0
Beef,Animal-source foods,Unprocessed red meat (ruminant),N/A,265,0,0,7.38,0.62,8.01,6.47,1.67,0,0.2,0.2,0.07,0.21,4.84,0.37,8.14,2.61,90.42,2.5,5.91,11.29,336.57,22.57,66.71,0,0,0.01,0.01,0.9,1.23,2.16,2.31,0.7,0.29,1.06,0.25,0.9,1.15,1.32,12.28,1.12,0,0.2,0.44,Q17,,"Beef, average of various cuts, deegrees of fat, and cooking methods",Bangladesh,0,0
Goat,Animal-source foods,Unprocessed red meat (ruminant),175304,143,0,0,1.36,0.23,1.59,0.93,0,0,0,0.34,0.09,0.61,3.95,0,5,1.19,106.4,3.73,5.27,17,405,0,86,0,0,0,0.01,0.57,1.37,2.26,2.02,0.73,0.32,0.94,0.4,0.83,1.29,1.45,12.18,1.12,0,0.2,0.44,Q17,No other cooking methods available,"Game meat, goat, cooked, roasted",Bangladesh,0,0
Dove,Animal-source foods,Poultry,169905,213,0,0,5.46,2.73,8.2,3.74,28,2.9,0.2,0.06,0.28,0.35,7.6,0.57,6,0.41,63.6,5.91,3.83,17,256,26,57,0.02,0.01,0.04,0.03,0.66,1.12,1.87,1.88,0.6,0.34,0.99,0.26,0.82,0.98,1.22,10.73,1.08,0,0.15,0.44,Q19,No other cooking methods available,"Dove, cooked (includes pigeon)",Bangladesh,0,0
Chicken liver,Animal-source foods,Organ meat,N/A,170,0.99,0,1.4,1.63,3.03,2.05,4138.5,15.3,0,0.8,0.29,2.15,12.49,0.8,569,18.99,308.4,12.26,4,10.5,289,26,84,0,0,0,0.01,0.73,1.18,2.19,1.93,0.62,0.39,1.19,0.25,0.94,1.05,1.44,11.92,1.08,0,0.15,0.44,Q19,,"Chicken liver, average of various cooking methods",Bangladesh,0,0
Quail,Animal-source foods,Poultry,169902,227,0,0,4.89,3.49,8.38,3.96,70,2.3,0.2,0.7,0.22,0.3,7.92,0.62,6,0.36,65.9,4.43,3.1,15,216,22,52,0,0.01,0.04,0.03,0.66,1.12,1.87,1.88,0.6,0.34,0.99,0.26,0.82,0.98,1.22,10.73,1.08,0,0.15,0.44,Q19,No other cooking methods available,"Quail, cooked, total edible",Bangladesh,0,0
Duck,Animal-source foods,Poultry,N/A,291,0,0,9.86,2.92,12.78,7.74,49.67,0,0.1,0.7,0.2,0.34,4.9,0.2,7.33,0.33,55.1,2.69,2.1,11.33,219.33,17.33,169,0,0,0,0,0.46,0.87,1.47,1.49,0.48,0.3,0.75,0.23,0.64,0.77,0.94,8.39,1.08,0,0.15,0.44,Q19,,"Duck, average of with and without skin and of different cooking methods",Bangladesh,0,0
Chicken,Animal-source foods,Poultry,N/A,208,0.25,0,4.22,2.4,6.63,2.96,26.83,0,0.1,0.28,0.07,0.2,6.71,0.4,5,0.32,63.43,1.41,2.33,17.29,274,22,85.29,0.04,0.01,0.02,0.08,0.79,1.31,1.97,2.21,0.71,0.32,1.02,0.29,0.88,1.1,1.27,11.88,1.08,0,0.15,0.44,Q19,,"Chicken, average of various cuts, with and without skin, and of different cooking methods",Bangladesh,0,0
Lean fish,Animal-source foods,Fish and seafood,N/A,174,2.35,0.1,3.2,2.26,5.46,1.88,15,0.24,1.73,1.42,0.07,0.1,4.1,0.24,22.6,1.93,64.13,0.8,0.58,17.6,370.6,28,257.2,0.09,0.05,0.04,0.96,0.73,1.14,2.02,2.28,0.73,0.27,0.97,0.28,0.84,1.09,1.28,11.62,1,0,0.15,0.44,Q20,,"Lean fish, average of various species consumed in Bangladesh, and of different cooking methods",Bangladesh,0,0
Fatty fish,Animal-source foods,Fish and seafood,N/A,216,0,0,7,2.05,9.06,2.86,394,1.13,1.73,1.42,0.13,0.13,3.14,0.27,13.33,4.66,64.13,1.22,1.55,61.33,439.33,35,74.33,0.37,0.55,0.14,0.19,0.66,1.04,1.83,2.07,0.67,0.24,0.88,0.25,0.76,0.99,1.16,10.54,1,0,0.15,0.44,Q20,,"Oily fish, average of various species consumed in Bangladesh and of different cooking methods",Bangladesh,0,0
Dried fish,Animal-source foods,Fish and seafood,N/A,353,0,0,9.23,3.91,13.14,4.29,15,0,4.7,0.58,0.16,0.68,2,0.43,22,5.97,116.1,9.23,0.57,2069.67,1039.33,159.5,300.1,0.42,0.54,0.17,1.04,1.26,1.97,3.48,3.93,1.27,0.46,1.67,0.48,1.45,1.88,2.21,20.06,1,0,0.15,0.44,Q20,"For unsaturated and saturated fats, vitamin B12, choline, sodium, essential fatty acids and essential amino acids, used average values for fish after adjusting for the difference in energy density","Dried fish, average of various species consumed in Bangladesh",Bangladesh,0,1
Whole cow milk,Animal-source foods,Milk,172217,61,4.78,0,0.81,0.2,1.01,1.87,46,0,0.1,0.07,0.05,0.17,0.09,0.04,5,0.45,14.3,0.03,0.37,113,132,10,43,0,0,0,0.08,0.1,0.16,0.3,0.26,0.08,0.02,0.16,0.04,0.16,0.13,0.21,1.63,1.16,0,0.15,0.44,Q25,,"Milk (cow), whole, 3.25% milkfat, without added vitamin A and vitamin D",Bangladesh,1,0
Whole sheep milk,Animal-source foods,Milk,N/A,89,4.91,0,1.42,0.23,1.65,3.64,50.5,2.75,1.3,0.07,0.06,0.25,0.35,0.05,4,0.39,16,0.08,0.42,163.5,170.5,16,47,0,0,0,0.08,0.17,0.34,0.59,0.51,0.16,0.04,0.28,0.08,0.28,0.27,0.45,3.16,1.17,0,0.15,0.44,Q25,,"Milk, sheep/goat, fluid, whole, unenriched",Bangladesh,1,0
Mango,Fruits,Vitamin A-rich fruits,169910,60,14.98,1.6,0.14,0.07,0.21,0.09,54,36.4,0,0.9,0.03,0.04,0.67,0.12,43,0,7.6,0.16,0.09,11,168,10,1,0,0,0,0.12,0.02,0.03,0.05,0.07,0.01,0.02,0.03,0.01,0.02,0.03,0.04,0.3,0.7,25,0.1,0.44,Q8,,"Mangos, raw",Nigeria,0,0
